20  SPACE
21  EXCLAMATION MARK
22  QUOTATION MARK
23  NUMBER SIGN
24  DOLLAR SIGN
25  PERCENT SIGN
26  AMPERSAND
27  APOSTROPHE
28  LEFT PARENTHESIS
29  RIGHT PARENTHESIS
2A  ASTERISK
2B  PLUS SIGN
2C  COMMA
2D  HYPHEN-MINUS
2E  FULL STOP
2F  SOLIDUS
30  DIGIT ZERO
31  DIGIT ONE
32  DIGIT TWO
33  DIGIT THREE
34  DIGIT FOUR
35  DIGIT FIVE
36  DIGIT SIX
37  DIGIT SEVEN
38  DIGIT EIGHT
39  DIGIT NINE
3A  COLON
3B  SEMICOLON
3C  LESS-THAN SIGN
3D  EQUALS SIGN
3E  GREATER-THAN SIGN
3F  QUESTION MARK
40  COMMERCIAL AT
41  CAPITAL LETTER A
42  CAPITAL LETTER B
43  CAPITAL LETTER C
44  CAPITAL LETTER D
45  CAPITAL LETTER E
46  CAPITAL LETTER F
47  CAPITAL LETTER G
48  CAPITAL LETTER H
49  CAPITAL LETTER I
4A  CAPITAL LETTER J
4B  CAPITAL LETTER K
4C  CAPITAL LETTER L
4D  CAPITAL LETTER M
4E  CAPITAL LETTER N
4F  CAPITAL LETTER O
50  CAPITAL LETTER P
51  CAPITAL LETTER Q
52  CAPITAL LETTER R
53  CAPITAL LETTER S
54  CAPITAL LETTER T
55  CAPITAL LETTER U
56  CAPITAL LETTER V
57  CAPITAL LETTER W
58  CAPITAL LETTER X
59  CAPITAL LETTER Y
5A  CAPITAL LETTER Z
5B  LEFT SQUARE BRACKET
5C  REVERSE SOLIDUS
5D  RIGHT SQUARE BRACKET
5E  CIRCUMFLEX ACCENT
5F  LOW LINE
60  GRAVE ACCENT
61  SMALL LETTER A
62  SMALL LETTER B
63  SMALL LETTER C
64  SMALL LETTER D
65  SMALL LETTER E
66  SMALL LETTER F
67  SMALL LETTER G
68  SMALL LETTER H
69  SMALL LETTER I
6A  SMALL LETTER J
6B  SMALL LETTER K
6C  SMALL LETTER L
6D  SMALL LETTER M
6E  SMALL LETTER N
6F  SMALL LETTER O
70  SMALL LETTER P
71  SMALL LETTER Q
72  SMALL LETTER R
73  SMALL LETTER S
74  SMALL LETTER T
75  SMALL LETTER U
76  SMALL LETTER V
77  SMALL LETTER W
78  SMALL LETTER X
79  SMALL LETTER Y
7A  SMALL LETTER Z
7B  LEFT CURLY BRACKET
7C  VERTICAL LINE
7D  RIGHT CURLY BRACKET
7E  TILDE
